Rahat,District,Tehsil,Lat1,Long1,,IMD,DISTRICT-Name,Station-Name,Lat2,Long2
ARG,AGRA,BAH,26.8137483,78.5447451,,AWS,AGRA,AGRA,27.17,78.03
ARG,AGRA,BAH,26.8286467,78.7025084,,ARG,AGRA,BAH_AGRA,27.1767,78.0081
ARG,AGRA,BAH,26.8314683,78.7112951,,ARG,AGRA,KHERAGARH,27.1,77.5
ARG,AGRA,KARAGARH,26.840759,77.4858675,,AWS,JHANSI,BHARARI_AMFU,25.53,78.4
AWS,AGRA,BAH,26.8692106,78.5875125,,AWS,JHANSI,JHANSI,25.43,78.57
ARG,AGRA,BAH,26.8781068,78.2896651,,ARG,JHANSI,JHANSI_ARG,25.44,78.57
ARG,AGRA,BAH,26.8865295,78.3777509,,ARG,JHANSI,MAURANIPUR,25.15,79.8
ARG,AGRA,BAH,26.8910111,78.5027221,,ARG,JHANSI,MOTH,25.43,78.56
ARG,AGRA,KARAGARH,26.9309791,77.6791742,,AWS,LUCKNOW,LUCKNOW,26.8667,80.9167
AWS,AGRA,KHARGAD,26.9437098,77.8268427,,ARG,LUCKNOW,MALIHALABAD,26.92,80.7119
ARG,AGRA,KARAGARH,26.9534717,77.7399718,,ARG,LUCKNOW,MOHANLALGANJ,26.68,80.98
ARG,AGRA,KHERAGARH,26.9549817,77.8199551,,AWS,PRAYAGRAJ,PRAYAGRAJ_AMFU,25.41,81.8333
ARG,AGRA,SADAR,26.9550889,77.9383815,,ARG,PRAYAGRAJ,HANDIA,25.36,82.18
ARG,AGRA,SADAR,26.957845,78.0077134,,ARG,PRAYAGRAJ,KARCHHANA,25.29,81.94
ARG,AGRA,SADAR,26.962962,78.0144,,,,,,
ARG,AGRA,FATEHABAD,26.9752,78.230455,,,,,,
ARG,AGRA,FATEHABAD,26.975319,78.230443,,,,,,
ARG,AGRA,FATEHABAD,27.0139756,78.1209941,,,,,,
ARG,AGRA,SADAR,27.0236117,77.9656618,,,,,,
AWS,AGRA,FATEHABAD,27.0288646,78.3171175,,,,,,
ARG,AGRA,FATEHABAD,27.030222,78.296218,,,,,,
ARG,AGRA,SADAR,27.037533,77.9711083,,,,,,
ARG,AGRA,SADAR,27.071492,77.885872,,,,,,
ARG,AGRA,KIRAWALI,27.085245,77.6627834,,,,,,
ARG,AGRA,FATEHABAD,27.0930453,78.1718813,,,,,,
ARG,AGRA,KIRAWALI,27.094141,77.668981,,,,,,
ARG,AGRA,SADAR,27.0948017,77.9093018,,,,,,
ARG,AGRA,KIRAWALI,27.1035067,77.8178384,,,,,,
ARG,AGRA,SADAR,27.109782,78.1230687,,,,,,
ARG,AGRA,SADAR,27.1194267,78.0216718,,,,,,
ARG,AGRA,KIRAOLI,27.1310317,77.6089434,,,,,,
ARG,AGRA,SADAR,27.1346123,78.0887083,,,,,,
ARG,AGRA,SADAR,27.1508951,78.0078563,,,,,,
ARG,AGRA,SADAR,27.158875,77.921064,,,,,,
AWS,AGRA,KIRWALI,27.1698983,77.7825201,,,,,,
ARG,AGRA,KIRAWALI,27.1727734,77.8892407,,,,,,
ARG,AGRA,KIRAWALI,27.1761642,77.7538196,,,,,,
AWS,AGRA,AGRA,27.1806834,77.9907869,,,,,,
AWS,AGRA,SADAR,27.2053087,77.9040275,,,,,,
ARG,AGRA,ETMMADPUR,27.2141643,78.1976855,,,,,,
ARG,AGRA,KIRAWALI,27.2256652,77.6555901,,,,,,
AWS,AGRA,ETMADPUR,27.232271,78.197587,,,,,,
ARG,AGRA,ETMMADPUR,27.263546,78.198933,,,,,,
AWS,AGRA,ETMADPUR,27.2750133,78.1899768,,,,,,
ARG,AGRA,ETMMADPUR,27.2899687,78.0686525,,,,,,
ARG,AGRA,ETMMADPUR,27.2901965,78.0555532,,,,,,
ARG,AGRA,ETMMADPUR,27.3081223,78.0266738,,,,,,
ARG,AGRA,ETMMADPUR,27.3581915,78.178098,,,,,,
ARG,JHANSI,MAURANIPUR,25.1749709,79.1817151,,,,,,
AWS,JHANSI,JHANSI,25.1938527,78.4571235,,,,,,
ARG,JHANSI,SADAR,25.2339245,78.4678557,,,,,,
ARG,JHANSI,MAURANIPUR,25.2379464,79.1969298,,,,,,
ARG,JHANSI,MAURANIPUR,25.2475957,79.0664177,,,,,,
AWS,JHANSI,MURANIPUR,25.262106,79.1485572,,,,,,
ARG,JHANSI,MAURANIPUR,25.2711089,78.9709483,,,,,,
ARG,JHANSI,JHANSI,25.3013511,78.5116429,,,,,,
ARG,JHANSI,MAURANIPUR,25.3107265,79.0009515,,,,,,
ARG,JHANSI,MAURANIPUR,25.3280637,79.109349,,,,,,
ARG,JHANSI,JHANSI,25.330483,78.5250677,,,,,,
ARG,JHANSI,JHANSI,25.3784593,78.766552,,,,,,
AWS,JHANSI,SADAR,25.4487622,78.5898181,,,,,,
ARG,JHANSI,JHANSI,25.4762376,78.7042972,,,,,,
ARG,JHANSI,JHANSI,25.508155,78.7533892,,,,,,
AWS,JHANSI,TEHROLI,25.5320547,78.9839086,,,,,,
ARG,JHANSI,MOTH,25.557184,78.802336,,,,,,
ARG,JHANSI,MOTH,25.5710059,78.8031307,,,,,,
AWS,JHANSI,GARAUTHA,25.5740691,79.2955636,,,,,,
ARG,JHANSI,GARAUTHA,25.5787263,79.2362983,,,,,,
ARG,JHANSI,GARAUTHA,25.5967832,79.1798073,,,,,,
ARG,JHANSI,GARAUTHA,25.612848,79.1838514,,,,,,
ARG,JHANSI,GARAUTHA,25.6193534,79.241612,,,,,,
ARG,JHANSI,MOTH,25.646246,78.878072,,,,,,
ARG,JHANSI,GARAUTHA,25.7114803,79.1637591,,,,,,
ARG,JHANSI,GARAUTHA,25.7313533,79.2406034,,,,,,
AWS,JHANSI,MOTH,25.7333579,78.9529674,,,,,,
ARG,JHANSI,MOTH,25.7572667,78.8321318,,,,,,
ARG,JHANSI,MOTH,25.83375,78.9620801,,,,,,
AWS,JHANSI,MOTH,25.8420069,78.8948085,,,,,,
ARG,JHANSI,MOTH,25.8447283,79.0739834,,,,,,
ARG,LUCKHNOW,MOHANLALGANJ,26.6197778,81.1367222,,,,,,
ARG,LUCKHNOW,MOHANLALGANJ,26.6612222,80.9883333,,,,,,
ARG,LUCKHNOW,MOHANLALGANJ,26.66775,80.9867222,,,,,,
AWS,LUCKHNOW,MOHANLALGANJ,26.682576,80.98321,,,,,,
ARG,LUCKHNOW,SAROJINI NAGAR,26.6940833,80.837,,,,,,
AWS,LUCKHNOW,SAROJINI NAGAR,26.7240148,80.8863918,,,,,,
ARG,LUCKHNOW,SAROJINI NAGAR,26.7483611,80.8610833,,,,,,
ARG,LUCKHNOW,MOHANLALGANJ,26.7568056,81.1548333,,,,,,
ARG,LUCKHNOW,MOHANLALGANJ,26.7684167,81.1020278,,,,,,
ARG,LUCKHNOW,MOHANLALGANJ,26.7688599,81.1097794,,,,,,
AWS,LUCKHNOW,SADAR,26.826058,81.014126,,,,,,
AWS,LUCKHNOW,SADAR,26.8392867,80.9431601,,,,,,
AWS,LUCKHNOW,SADAR,26.83937,81.0114418,,,,,,
ARG,LUCKHNOW,SADAR,26.848882,80.977893,,,,,,
ARG,LUCKHNOW,SAROJINI NAGAR,26.86925,80.7903056,,,,,,
ARG,LUCKHNOW,SAROJINI NAGAR,26.8707222,80.7931111,,,,,,
